date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:32:49.592567+05:30,24823.55,24823.55,24823.55,24823.55,24823.55,,
2025-09-04,2025-09-04 11:32:50.081361+05:30,24823.55,24824.6,24823.55,24824.6,24824.6,,
2025-09-04,2025-09-04 11:32:50.581660+05:30,24823.55,24824.6,24823.55,24823.95,24823.95,,
2025-09-04,2025-09-04 11:32:51.081396+05:30,24823.55,24824.6,24823.15,24823.15,24823.15,,
2025-09-04,2025-09-04 11:32:51.581311+05:30,24823.55,24824.6,24823.15,24823.35,24823.35,,
2025-09-04,2025-09-04 11:32:52.081350+05:30,24823.55,24824.6,24823.15,24823.45,24823.45,,
2025-09-04,2025-09-04 11:32:52.581740+05:30,24823.55,24827.2,24823.15,24827.2,24827.2,,
2025-09-04,2025-09-04 11:32:52.831472+05:30,24823.55,24827.2,24823.15,24825.85,24825.85,,
2025-09-04,2025-09-04 11:32:53.581281+05:30,24823.55,24827.2,24823.15,24824.85,24824.85,,
2025-09-04,2025-09-04 11:32:54.082902+05:30,24823.55,24827.2,24823.15,24824.95,24824.95,,
2025-09-04,2025-09-04 11:32:54.581386+05:30,24823.55,24827.2,24823.15,24824.85,24824.85,,
2025-09-04,2025-09-04 11:32:55.081718+05:30,24823.55,24827.2,24823.15,24824.5,24824.5,,
2025-09-04,2025-09-04 11:32:55.581304+05:30,24823.55,24827.2,24823.15,24825.1,24825.1,,
2025-09-04,2025-09-04 11:32:56.081583+05:30,24823.55,24827.2,24823.15,24824.65,24824.65,,
2025-09-04,2025-09-04 11:32:56.581289+05:30,24823.55,24827.2,24823.15,24824.8,24824.8,,
2025-09-04,2025-09-04 11:32:57.081297+05:30,24823.55,24827.2,24823.15,24824.65,24824.65,,
2025-09-04,2025-09-04 11:32:57.581383+05:30,24823.55,24827.2,24823.15,24825.0,24825.0,,
2025-09-04,2025-09-04 11:32:58.081191+05:30,24823.55,24827.2,24823.15,24824.55,24824.55,,
2025-09-04,2025-09-04 11:32:58.581518+05:30,24823.55,24827.2,24823.15,24825.0,24825.0,,
2025-09-04,2025-09-04 11:32:59.081373+05:30,24823.55,24827.2,24823.15,24824.8,24824.8,,
2025-09-04,2025-09-04 11:32:59.581627+05:30,24823.55,24827.2,24823.15,24824.85,24824.85,,
2025-09-04,2025-09-04 11:33:00.081286+05:30,24825.75,24825.75,24825.75,24825.75,24825.75,,
2025-09-04,2025-09-04 11:33:00.581172+05:30,24825.75,24825.75,24825.6,24825.6,24825.6,,
2025-09-04,2025-09-04 11:33:01.081191+05:30,24825.75,24825.75,24825.0,24825.0,24825.0,,
2025-09-04,2025-09-04 11:33:01.581137+05:30,24825.75,24825.75,24824.9,24824.9,24824.9,,
2025-09-04,2025-09-04 11:33:02.081783+05:30,24825.75,24825.75,24824.9,24824.95,24824.95,,
2025-09-04,2025-09-04 11:33:02.581200+05:30,24825.75,24825.75,24824.9,24825.55,24825.55,,
2025-09-04,2025-09-04 11:33:03.081178+05:30,24825.75,24825.75,24824.9,24825.45,24825.45,,
2025-09-04,2025-09-04 11:33:03.581440+05:30,24825.75,24825.75,24824.7,24824.7,24824.7,,
2025-09-04,2025-09-04 11:33:04.081110+05:30,24825.75,24825.75,24824.7,24825.5,24825.5,,
2025-09-04,2025-09-04 11:33:04.581313+05:30,24825.75,24825.75,24824.7,24825.3,24825.3,,
2025-09-04,2025-09-04 11:33:05.083658+05:30,24825.75,24825.75,24824.7,24825.6,24825.6,,
2025-09-04,2025-09-04 11:33:05.581103+05:30,24825.75,24825.75,24824.7,24825.25,24825.25,,
