ha_time,ha_color,cal1,used_formula,candidate_levels,triggered,triggered_levels,strike,side,symbol,note,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:15:00+05:30,RED,-2.474999999998545,form1,"[24816.75, 24832.478571428568]",True,[24816.75],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:15:00+05:30,RED,-2.474999999998545,form1,"[24816.75, 24832.478571428568]",True,[24816.75],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:15:00+05:30,RED,-2.474999999998545,form1,"[24816.75, 24832.478571428568]",True,[24816.75],24800,PE,NIFTY2590924800PE,,2025-09-05 09:16:00+05:30,77.95,2025-09-05 09:17:00+05:30,74.7,STOP,-1.0,-50.0
2025-09-05 09:15:00+05:30,RED,-2.474999999998545,form1,"[24816.75, 24832.478571428568]",True,[24816.75],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:15:00+05:30,RED,-2.474999999998545,form1,"[24816.75, 24832.478571428568]",True,[24816.75],25000,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:16:00+05:30,RED,-4.399999999997817,form1,"[24815.5125, 24840.878571428562]",True,[24815.5125],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:16:00+05:30,RED,-4.399999999997817,form1,"[24815.5125, 24840.878571428562]",True,[24815.5125],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:16:00+05:30,RED,-4.399999999997817,form1,"[24815.5125, 24840.878571428562]",True,[24815.5125],24800,PE,NIFTY2590924800PE,,2025-09-05 09:17:00+05:30,74.7,2025-09-05 09:18:00+05:30,70.1,STOP,-1.0,-50.0
2025-09-05 09:16:00+05:30,RED,-4.399999999997817,form1,"[24815.5125, 24840.878571428562]",True,[24815.5125],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:16:00+05:30,RED,-4.399999999997817,form1,"[24815.5125, 24840.878571428562]",True,[24815.5125],25000,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:17:00+05:30,RED,-11.099999999998545,form1,"[24813.3125, 24848.19821428571]",True,[24813.3125],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:17:00+05:30,RED,-11.099999999998545,form1,"[24813.3125, 24848.19821428571]",True,[24813.3125],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:17:00+05:30,RED,-11.099999999998545,form1,"[24813.3125, 24848.19821428571]",True,[24813.3125],24800,PE,NIFTY2590924800PE,,2025-09-05 09:18:00+05:30,70.1,2025-09-05 09:19:00+05:30,67.0,STOP,-1.0,-50.0
2025-09-05 09:17:00+05:30,RED,-11.099999999998545,form1,"[24813.3125, 24848.19821428571]",True,[24813.3125],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:17:00+05:30,RED,-11.099999999998545,form1,"[24813.3125, 24848.19821428571]",True,[24813.3125],25000,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,4.087499999997817,form1,"[24807.7625, 24804.453571428578]",True,[24807.7625],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,4.087499999997817,form1,"[24807.7625, 24804.453571428578]",True,[24807.7625],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,4.087499999997817,form1,"[24807.7625, 24804.453571428578]",True,[24807.7625],24800,CE,NIFTY2590924800CE,,2025-09-05 09:19:00+05:30,109.4,2025-09-05 09:22:00+05:30,102.8,STOP,-1.0,-50.0
2025-09-05 09:18:00+05:30,GREEN,4.087499999997817,form1,"[24807.7625, 24804.453571428578]",True,[24807.7625],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:18:00+05:30,GREEN,4.087499999997817,form1,"[24807.7625, 24804.453571428578]",True,[24807.7625],25000,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,9.706249999999272,form1,"[24809.80625, 24797.844642857144]",True,[24809.80625],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,9.706249999999272,form1,"[24809.80625, 24797.844642857144]",True,[24809.80625],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,9.706249999999272,form1,"[24809.80625, 24797.844642857144]",True,[24809.80625],24800,CE,NIFTY2590924800CE,,2025-09-05 09:20:00+05:30,110.45,2025-09-05 09:22:00+05:30,102.8,STOP,-1.0,-50.0
2025-09-05 09:19:00+05:30,GREEN,9.706249999999272,form1,"[24809.80625, 24797.844642857144]",True,[24809.80625],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:19:00+05:30,GREEN,9.706249999999272,form1,"[24809.80625, 24797.844642857144]",True,[24809.80625],25000,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:20:00+05:30,GREEN,11.328125000003638,form1,"[24814.659375, 24794.74732142856]",True,[24814.659375],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:20:00+05:30,GREEN,11.328125000003638,form1,"[24814.659375, 24794.74732142856]",True,[24814.659375],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:20:00+05:30,GREEN,11.328125000003638,form1,"[24814.659375, 24794.74732142856]",True,[24814.659375],24800,CE,NIFTY2590924800CE,,2025-09-05 09:21:00+05:30,110.0,2025-09-05 09:22:00+05:30,102.8,STOP,-1.0,-50.0
2025-09-05 09:20:00+05:30,GREEN,11.328125000003638,form1,"[24814.659375, 24794.74732142856]",True,[24814.659375],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:20:00+05:30,GREEN,11.328125000003638,form1,"[24814.659375, 24794.74732142856]",True,[24814.659375],25000,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:21:00+05:30,GREEN,7.6015625,form1,"[24820.323437500003, 24808.459375]",True,[24820.323437500003],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:21:00+05:30,GREEN,7.6015625,form1,"[24820.323437500003, 24808.459375]",True,[24820.323437500003],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 09:21:00+05:30,GREEN,7.6015625,form1,"[24820.323437500003, 24808.459375]",True,[24820.323437500003],24800,CE,NIFTY2590924800CE,,2025-09-05 09:22:00+05:30,102.8,2025-09-05 09:23:00+05:30,92.25,STOP,-1.0,-50.0
