time_checked,ha_time,ha_color,cal1,used_formula,computed_values,symbol,strike,option_token,option_last,option_open,option_oi,option_vol,side,entry_price,target_price,stop_price,qty_contracts
2025-09-05T14:20:17.862999,2025-09-05T10:55:00+05:30,GREEN,0.7750000000014552,form1,"(24673.6, 24677.61428571428, 2.435714285718859)",NIFTY2590924500CE,24500,10384898,283.45,308.0,2978400,32930625,BUY_CE,283.45,286.45,282.45,50
2025-09-05T14:20:20.921819,2025-09-05T10:55:00+05:30,GREEN,0.7750000000014552,form1,"(24673.6, 24677.61428571428, 2.435714285718859)",NIFTY2590924600CE,24600,10385922,197.0,230.0,2670525,120168000,BUY_CE,197.0,200.0,196.0,50
2025-09-05T14:20:23.871569,2025-09-05T10:55:00+05:30,GREEN,0.7750000000014552,form1,"(24673.6, 24677.61428571428, 2.435714285718859)",NIFTY2590924700CE,24700,10387714,121.45,136.6,6355650,426096750,BUY_CE,121.45,124.45,120.45,50
2025-09-05T14:20:26.457138,2025-09-05T10:55:00+05:30,GREEN,0.7750000000014552,form1,"(24673.6, 24677.61428571428, 2.435714285718859)",NIFTY2590924800CE,24800,10388738,66.2,87.5,12440400,607498875,BUY_CE,66.2,69.2,65.2,50
2025-09-05T14:20:29.149112,2025-09-05T10:55:00+05:30,GREEN,0.7750000000014552,form1,"(24673.6, 24677.61428571428, 2.435714285718859)",NIFTY2590924900CE,24900,10389762,33.6,62.0,13772550,392134650,BUY_CE,33.6,36.6,32.6,50
2025-09-05T18:57:09.229413,2025-09-05T09:15:00+05:30,RED,-2.474999999998545,form1,"(24816.75, 24832.478571428568, -7.778571428566855)",NIFTY2590924500PE,24500,10385154,15.8,13.0,12945750,354313500,BUY_PE,15.8,18.8,14.8,50
2025-09-05T18:57:11.800217,2025-09-05T09:15:00+05:30,RED,-2.474999999998545,form1,"(24816.75, 24832.478571428568, -7.778571428566855)",NIFTY2590924600PE,24600,10386178,28.2,30.2,10732575,443660025,BUY_PE,28.2,31.2,27.2,50
2025-09-05T18:57:14.546291,2025-09-05T09:15:00+05:30,RED,-2.474999999998545,form1,"(24816.75, 24832.478571428568, -7.778571428566855)",NIFTY2590924700PE,24700,10387970,52.0,48.4,8736750,568415100,BUY_PE,52.0,55.0,51.0,50
2025-09-05T18:57:16.994623,2025-09-05T09:15:00+05:30,RED,-2.474999999998545,form1,"(24816.75, 24832.478571428568, -7.778571428566855)",NIFTY2590924800PE,24800,10388994,96.95,96.0,7021200,375002625,BUY_PE,96.95,99.95,95.95,50
2025-09-05T18:57:19.837740,2025-09-05T09:15:00+05:30,RED,-2.474999999998545,form1,"(24816.75, 24832.478571428568, -7.778571428566855)",NIFTY2590924900PE,24900,10390018,162.55,147.0,2260725,92495925,BUY_PE,162.55,165.55,161.55,50
